Spomenik City,Country,Year Built,Surroundings,Condition,Size,Designer,Map #
Ada,Serbia,1961,Park/Town,Fair,Small,Aleksandar Zarin,93
Andrijevica,Montenegro,1967,Park/Town,Good,Medium,Vojislav Vujisić,76
Avala,Serbia,1965,Forested,Excellent,Small,Jovan Kratohvil,29
Barutana,Montenegro,(unknown),Village,Poor,Medium,(unknown),64
Begunje,Slovenia,1953,Park/Forested,Good,Small,Edvard Ravnikar,88
Bela Crkva,Serbia,1971,Village,Poor,Small,Bogdan Bogdanović,58
Berane,Montenegro,1977,Park/Forested,Good,Medium,Bogdan Bogdanović,63
Bihać,Bosnia,1981,Open fields,Abandoned,Medium,Bogdan Bogdanović,1
Botun,Macedonia,(unknown),Forested,Abandoned,Small,(unknown),40
Bratunac,Bosnia,1978,Town,Poor,Medium,(unknown),59
Bravsko,Croatia,1972,Village,Fair,Medium,Mirko Radulovic,54
Brezovica,Kosovo,1964,Park/Town,Poor,Medium,M. Pecić & SA Barasa,85
Brštica,Serbia,1981,Village,Poor,Small,Milun Stambolić,94
Brzeće,Serbia,(unknown),Mountains,Fair,Medium,(unknown),87
Čačak,Serbia,1980,Park/Town,Poor,Medium,Bogdan Bogdanović,22
Čenej,Serbia,1971,Open fields,Poor,Small,Paul Radanovic,84
Črni Kal,Slovenia,1966,Mountains,Good,Small,Edo Mihevc,81
Donji Miholjac,Croatia,1968,Town,Good,Small,Stephen Brlošić,51
Dotršćina (Zagreb),Croatia,1968,Park/City,Fair,Medium,Vojin Bakic,49
Draginac,Serbia,1961,Open fields,Fair,Medium,Ostoja G. Balkanski,77
Dražgoše,Slovenia,1976,Mountains,Excellent,Medium,B. Kobe & S. Batic,4
Drvar,Croatia,1975,Park/Town,Destroyed,Medium,Marijan Kocković,55
Gevgelija,Macedonia,1969,Open fields,Abandoned,Medium,Jordan Grabuloski,39
Glamoč,Bosnia,1978,Park/Forested,Poor,Small,Mirko Ostoja,79
Gligino Brdo (Dobrljin),Bosnia,(unknown),Open fields,Poor,Small,(unknown),91
Golubovci,Montenegro,(unknown),Park/Town,Fair,Small,(unknown),65
Gornji Jelovac,Croatia,(unknown),Forested,Abandoned,Small,(unknown),16
Grmeč,Bosnia,1979,Mountains,Abandoned,Large,Ljubomir Denković,56
Ilirska Bistrica,Slovenia,1965,Park/Town,Excellent,Medium,Janez Lenassi,3
Jabuka,Serbia,1981,Open fields,Poor,Large,Nebojša Delja,80
Jajinci,Serbia,1988,Park/Town,Good,Medium,Vojin Stojić,72
Jasenica,Bosnia,1979,Mountains,Abandoned,Small,Ljubomir Denković,73
Jasenovac,Croatia,1966,Open fields,Excellent,Large,Bogdan Bogdanović,7
Kadinjača,Serbia,1979,Mountains,Excellent,Very Large,Miodrag Živković,21
Kavadarci,Macedonia,1976,Park,Fair,Medium,Peter Mulichkoski,37
Knin,Croatia,1969,Mountains,Destroyed,Medium,Vojin Bakić,11
Kočani,Macedonia,1977,Park/Hillside,Poor,Medium,Gligora Cemerski,69
Kolašin,Montenegro,1978,Town,Good,Very Large,Marko Mušič,62
Kosmaj,Serbia,1970,Park/Mountains,Fair,Very Large,Vojin Stojic,26
Košute,Croatia,1961,Mountains,Destroyed,Medium,Vuko Bombardelli,13
Kozara,Croatia,1972,Park/Mountains,Excellent,Very Large,Dušan Džamonja,9
Kragujevac,Serbia,1963,Park,Excellent,Small,Miodrag Živković,25
Kraljevo,Serbia,1970,Park/Town,Good,Large,Spasoje Krunic,60
Kruševac,Serbia,1965,Park/Town,Good,Small,Bogdan Bogdanović,33
Kruševo,Macedonia,1974,Park/Town,Good,Very Large,Jordan Grabuloski,36
Landovica,Kosovo,1963,Town,Destroyed,Medium,M. Pecić & SA Barasa,86
Leskovac,Serbia,1971,Park/Town,Good,Medium,Bogdan Bogdanović,67
Majdanpek,Serbia,(unknown),Park/Village,Poor,Medium,(unknown),61
Makljen,Bosnia,1978,Mountains,Destroyed,Medium,Boško Kućanski,47
Maribor,Slovenia,1975,City,Excellent,Medium,Slavko Tihec,23
Medno Polje,Bosnia,(unknown),Open fields,Abandoned,Small,(unknown),53
Mirna,Slovenia,1965,Park/Town,Good,Small,Janez Lenassi,74
Mitrovica,Kosovo,1973,Park/Hillside,Poor,Large,Bogdan Bogdanović,34
Mostar,Bosnia,1965,Park/Town,Destroyed,Very Large,Bogdan Bogdanović,15
Nikšić,Montenegro,(unknown),Town,Fair,Large,(unknown),27
Niš,Serbia,1963,Park/Town,Fair,Large,Ivana Sabolić,31
Novi Travnik,Bosnia,1975,Open fields,Abandoned,Medium,Bogdan Bogdanović,18
Ostra,Bosnia,1969,Village,Fair,Medium,Miodrag Živković,24
Petrova Gora,Croatia,1981,Park/Mountains,Destroyed,"Very Large
",Vojin Bakić,2
Pleso,Croatia,1978,Town,Fair,Medium,Marijan Burger,75
Plovanija,Croatia,1981,Park/Town,Good,Medium,Aleksandar Rukavina,71
Podgarić,Croatia,1967,Village,Good,Large,Dušan Džamonja,6
Podgora,Croatia,1962,Town,Good,Large,Rajko Radovic,14
Podhum,Croatia,1970,Park/Town,Fair,Large,Sime Vulas,41
Popina,Serbia,1981,Open fields,Abandoned,Large,Bogdan Bogdanović,32
Požarevac,Serbia,1985,Park/Town,Poor,Medium,Milorad Tepavac,30
Prilep,Macedonia,1961,Park/Town,Excellent,Small,Bogdan Bogdanović,46
Priština,Kosovo,1961,City,Poor,Medium,Miodrag Živković,35
Sanski Most,Bosnia,1970,Park/Town,Poor,Medium,Petar Krstić,10
Sarajevo,Bosnia,1981,Park/City,Abandoned,Very Large,Vladimir Dobrović,82
Sinj,Croatia,1962,Forested,Fair,Medium,Vuko Bombardelli,28
Sisak,Croatia,1981,Forested,Fair,Medium,Želimir Janeš,5
Slabinja,Croatia,1981,Park/Town,Poor,Medium,Stanislav Mišić,50
Sremska Mitrovica,Serbia,1960,Park/Town,Good,Medium,Bogdan Bogdanović,83
Štip,Macedonia,1974,Town,Poor,Small,Bogdan Bogdanović,38
Struga,Macedonia,1974,City,Good,Medium,Vojislav Vasiljević,70
Tjentište,Bosnia,1971,Mountains,Good,Very Large,Miodrag Živković,20
Ulcinj,Montenegro,1985,City,Poor,Medium,Miodrag Živković,52
Velanija,Kosovo,1961,Park/City,Poor,Large,Svetislav Licina,66
Veles,Macedonia,1979,Park/Town,Fair,Large,Ljubomir Denkoviḱ,44
Vlasotince,Serbia,1975,Town/Cemetery,Fair,Medium,Bogdan Bogdanović,68
Vođenica,Bosnia,(unknown),Village,Abandoned,Small,(unknown),78
Vodice,Croatia,1965,Town,Good,Medium,Marijan Burger,12
Vogošća,Bosnia,1969,Town,Fair,Medium,Petar Krstic,19
Vranjske Njive,Montenegro,(unknown),Village,Fair,Small,(unknown),90
Vrtoče,Croatia,1971,Town,Good,Small,Nebojša Latinović,96
Vukovar,Serbia,1980,Town,Fair,Medium,Bogdan Bogdanović,8
