Spomenik City,Country,Year Built,Surroundings,Condition,Size,Designer,Map #,URL
Ada,Serbia,1961,Park/Town,Fair,Small,Aleksandar Zarin,93,https://www.spomenikdatabase.org/ada
Andrijevica,Montenegro,1967,Park/Town,Good,Medium,Vojislav Vujisić,76,https://www.spomenikdatabase.org/andrijevica
Avala,Serbia,1965,Forested,Excellent,Small,Jovan Kratohvil,29,https://www.spomenikdatabase.org/avala
Barutana,Montenegro,(unknown),Village,Poor,Medium,(unknown),64,https://www.spomenikdatabase.org/barutana
Begunje,Slovenia,1953,Park/Forested,Good,Small,Edvard Ravnikar,88,https://www.spomenikdatabase.org/begunje
Bela Crkva,Serbia,1971,Village,Poor,Small,Bogdan Bogdanović,58,https://www.spomenikdatabase.org/bela-crkva
Berane,Montenegro,1977,Park/Forested,Good,Medium,Bogdan Bogdanović,63,https://www.spomenikdatabase.org/berane
Bihać,Bosnia,1981,Open fields,Abandoned,Medium,Bogdan Bogdanović,1,https://www.spomenikdatabase.org/bihac
Botun,Macedonia,(unknown),Forested,Abandoned,Small,(unknown),40,https://www.spomenikdatabase.org/botun
Bratunac,Bosnia,1978,Town,Poor,Medium,(unknown),59,https://www.spomenikdatabase.org/bratunac
Bravsko,Croatia,1972,Village,Fair,Medium,Mirko Radulovic,54,https://www.spomenikdatabase.org/bravsko
Brezovica,Kosovo,1964,Park/Town,Poor,Medium,M. Pecić & SA Barasa,85,https://www.spomenikdatabase.org/brezovica
Brštica,Serbia,1981,Village,Poor,Small,Milun Stambolić,94,https://www.spomenikdatabase.org/brstica
Brzeće,Serbia,(unknown),Mountains,Fair,Medium,(unknown),87,https://www.spomenikdatabase.org/brzece
Čačak,Serbia,1980,Park/Town,Poor,Medium,Bogdan Bogdanović,22,https://www.spomenikdatabase.org/cacak
Čenej,Serbia,1971,Open fields,Poor,Small,Paul Radanovic,84,https://www.spomenikdatabase.org/cenej
Črni Kal,Slovenia,1966,Mountains,Good,Small,Edo Mihevc,81,https://www.spomenikdatabase.org/crni-kal
Donji Miholjac,Croatia,1968,Town,Good,Small,Stephen Brlošić,51,https://www.spomenikdatabase.org/donji-miholjac
Dotršćina (Zagreb),Croatia,1968,Park/City,Fair,Medium,Vojin Bakic,49,
Draginac,Serbia,1961,Open fields,Fair,Medium,Ostoja G. Balkanski,77,https://www.spomenikdatabase.org/draginac
Dražgoše,Slovenia,1976,Mountains,Excellent,Medium,B. Kobe & S. Batic,4,https://www.spomenikdatabase.org/drazgose
Drvar,Croatia,1975,Park/Town,Destroyed,Medium,Marijan Kocković,55,https://www.spomenikdatabase.org/drvar
Gevgelija,Macedonia,1969,Open fields,Abandoned,Medium,Jordan Grabuloski,39,https://www.spomenikdatabase.org/gevgelija
Glamoč,Bosnia,1978,Park/Forested,Poor,Small,Mirko Ostoja,79,https://www.spomenikdatabase.org/glamoc
Gligino Brdo (Dobrljin),Bosnia,(unknown),Open fields,Poor,Small,(unknown),91,
Golubovci,Montenegro,(unknown),Park/Town,Fair,Small,(unknown),65,https://www.spomenikdatabase.org/golubovci
Gornji Jelovac,Croatia,(unknown),Forested,Abandoned,Small,(unknown),16,https://www.spomenikdatabase.org/gornji-jelovac
Grmeč,Bosnia,1979,Mountains,Abandoned,Large,Ljubomir Denković,56,https://www.spomenikdatabase.org/grmec
Ilirska Bistrica,Slovenia,1965,Park/Town,Excellent,Medium,Janez Lenassi,3,https://www.spomenikdatabase.org/ilirska-bistrica
Jabuka,Serbia,1981,Open fields,Poor,Large,Nebojša Delja,80,https://www.spomenikdatabase.org/jabuka
Jajinci,Serbia,1988,Park/Town,Good,Medium,Vojin Stojić,72,https://www.spomenikdatabase.org/jajinci
Jasenica,Bosnia,1979,Mountains,Abandoned,Small,Ljubomir Denković,73,https://www.spomenikdatabase.org/jasenica
Jasenovac,Croatia,1966,Open fields,Excellent,Large,Bogdan Bogdanović,7,
Kadinjača,Serbia,1979,Mountains,Excellent,Very Large,Miodrag Živković,21,https://www.spomenikdatabase.org/kadinjaca
Kavadarci,Macedonia,1976,Park,Fair,Medium,Peter Mulichkoski,37,https://www.spomenikdatabase.org/kavadarci
